station_european_code	station_local_code	country_iso_code	country_name	station_name	station_start_date	station_end_date	type_of_station	station_ozone_classification	station_type_of_area	station_subcat_rural_back	street_type	station_longitude_deg	station_latitude_deg	station_altitude	station_city	lau_level1_code	lau_level2_code	lau_level2_name	EMEP_station
GR0018A	201	GR	Greece	AGIA SOFIA	2001-01-01		Traffic		urban		Wide street: L/H > 1.5	22.945288	40.633774	27	THESSALONIKI				no
GR0110R	110	GR	Greece	ALIARTOS	1987-01-01		Background	rural	rural	regional	Wide street: L/H > 1.5	23.110268	38.375248	110	ALIARTOS				yes
GR0003A	109	GR	Greece	ARISTOTELOUS	1984-01-01		Traffic		urban		Canyon street: L/H < 1.5	23.727628	37.988028	95	ATHENS				no
GR0002A	103	GR	Greece	ATHINAS	1988-01-01		Traffic	urban	urban		Canyon street: L/H < 1.5	23.726843	37.978207	100	ATHENS				no
GR0039A	115	GR	Greece	Agia PARASKEVI	2001-01-01		Background	suburban	suburban		Wide street: L/H > 1.5	23.819418	37.995106	290	AGIA PARASKEVI				no
GR0033A		GR	Greece	Aspropyrgos	1987-01-01	1988-12-30	Unknown		suburban		Unknown	23.531958	38.051666	10	ATHENS				no
GR0004A		GR	Greece	Drapetsona	1984-01-01	1987-12-30	Unknown		suburban		Unknown	23.640005	37.941944	14	ATHENS				no
GR0038A	114	GR	Greece	Elefsina	2001-01-01		Industrial	urban	urban		Wide street: L/H > 1.5	23.538446	38.051350	20	ELEFSINA				no
GR0042A	118	GR	Greece	GALATSI	2001-01-01	2004-12-31	Background		urban		Canyon street: L/H < 1.5	23.748205	38.020287	154	GALATSI				no
GR0040A	116	GR	Greece	GOUDI	2001-01-01	2009-12-31	Traffic		urban		Wide street: L/H > 1.5	23.767429	37.984146	155	ATHENS				no
GR0009A		GR	Greece	HERAKLION	2001-01-01		Traffic		urban		Wide street: L/H > 1.5	25.080011	35.332500	10	HERACLION				no
GR0230A	230	GR	Greece	IOANNINA	2008-01-01		Background	suburban	suburban			20.850000	39.619999	485	IOANNINA				no
GR0019A	204	GR	Greece	KALAMARIA	1986-01-01		Traffic		suburban		Wide street: L/H > 1.5	22.959303	40.578917	60	KALAMARIA				no
