station_european_code	component_code	component_name	component_caption	measurement_unit	measurement_european_group_code	statistics_period	statistics_year	statistics_average_group	statistic_shortname	statistic_name	statistic_value	statistics_percentage_valid	statistics_number_valid	statistics_calculated
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2001	day	P50	50 percentile	22.833	96.438	352	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2001	day	Mean	annual mean	29.433	96.438	352	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2001	day	P95	95 percentile	70.000	96.438	352	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2001	day	P98	98 percentile	85.375	96.438	352	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2001	day	Max	maximum	115.792	96.438	352	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2001	day	Max4	4th highest value	93.000	96.438	352	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2001	day	Days(c > 125)	days with c > 125 ug/m3	0.000	96.438	352	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2001	hour	P50	50 percentile	19.000	96.918	8490	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2001	hour	Mean	annual mean	29.277	96.918	8490	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2001	hour	P95	95 percentile	88.000	96.918	8490	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2001	hour	P98	98 percentile	118.000	96.918	8490	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2001	hour	P99_9	99.9 percentile	189.000	96.918	8490	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2001	hour	Max	maximum	285.000	96.918	8490	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2001	hour	Max25	25th highest value	167.000	96.918	8490	Y
GR0018A	1	Sulphur dioxide (air)	SO2	µg/m3	100	Calendar year	2001	hour	Hours(c > 350)	hours with c > 350 ug/m3	0.000	96.918	8490	Y
